IDAUTORE,IDCANZONE,TITOLO,POPOLARITA
563,5107,Solo noi,0
564,5108,Ti voglio bene,40
565,5109,Su di noi,59
589,5110,Maledetta primavera,56
590,5111,Tu cosa fai stasera?,30
588,5112,Per Elisa,0
469,5113,Storie di tutti i giorni,0
607,5114,Felicita,72
452,5115,Soli,73
631,5116,Sara quel che sara,0
632,5117,Volevo dirti,37
633,5118,Margherita non lo sa,11
607,5119,Ci sara,0
563,5120,Serenata,51
609,5121,Cara,57
414,5122,Se m'innamoro,0
659,5123,Noi ragazzi di oggi,49
412,5124,Chiamalo amore,19
667,5125,Il clarinetto,32
594,5126,Senza un briciolo di testa,32
660,5127,Adesso tu,0
676,5128,Si puo dare di piu,0
563,5129,Figli,61
607,5130,Nostalgia canaglia,42
680,5131,Perdere l'amore,0
591,5132,L'amore rubato,36
563,5133,Emozioni,55
690,5134,Ti lascero,0
607,5135,Cara terra mia,21
563,5136,Le mamme,21
699,5137,Uomini soli,0
563,5138,Gli amori,39
700,5139,Vattene amore,57
706,5140,Se stiamo insieme,0
707,5141,Spalle al muro,39
708,5142,Perche lo fai,42
613,5143,Gli uomini non cambiano,54
715,5144,La forza della vita,44
591,5145,Portami a ballare,0
727,5146,Gli amori diversi,0
657,5147,Mistero,40
726,5148,Dietro la porta,22
739,5149,Signor tenente,38
738,5150,Passera,48
740,5151,Strani amori,47
747,5152,Come saprei,0
748,5153,In amore,10
749,5154,Gente come noi,41
762,5155,Vorrei incontrarti fra cent'anni,0
747,5156,Strano il mio destino,36
763,5157,La terra dei cachi,44
775,5158,Fiumi di parole,0
776,5159,Sei tu,61
534,5160,Storie,48
797,5161,Senza te o con te,0
799,5162,Sempre,66
798,5163,Amore lontanissimo,25
714,5164,Cosi e la vita,0
798,5165,Non ti dimentico (Se non ci fossero le nuvole),62
534,5166,Senza pieta,0
805,5167,Sentimento,0
811,5168,La tua ragazza sempre,45
407,5169,Innamorato,58
747,5170,Di sole e d'azzurro,51
532,5171,Questa nostra grande storia d'amore,19
817,5172,Luce (tramonti a nord est),0
824,5173,Dimmi come,35
532,5174,Messaggio d'amore,0
695,5175,Un altro amore,32
832,5176,Tutto quello che un uomo,52
824,5177,Per dire di no,0
819,5178,7000 caffe,46
708,5179,L'uomo volante,0
840,5180,Sei la vita mia,28
841,5181,Aria sole terra e mare,12
798,5182,Echi d'infinito,16
861,5183,Come noi nessuno al mondo,16
827,5184,Angelo,0
880,5185,Vorrei avere il becco,0
867,5186,Essere una donna,34
881,5187,Dove si va,39
883,5188,Ti regalero una rosa,0
462,5189,Nel perdono,82
903,5190,Schiavo d'amore,3
909,5191,Colpo di fulmine,0
867,5192,Il mio amico,47
910,5193,Eppure mi hai cambiato la vita,40
880,5194,Luca era gay,25
916,5195,La forza mia,0
917,5196,Non riesco a farti innamorare,43
924,5197,Italia amore mio,30
923,5198,Per tutte le volte che,0
925,5199,Credimi ancora,38
435,5200,Chiamami ancora amore,0
932,5201,Arrivera,29
462,5202,Amanda e libera,15
929,5203,La notte,51
926,5204,Sono solo parole,57
940,5205,Non e l'inferno,0
925,5206,L'essenziale,0
876,5207,Se si potesse non morire,39
763,5208,La canzone mononota,35
954,5209,Liberi o no,21
955,5210,Ora,62
929,5211,Controvento,0
927,5212,Adesso e qui (nostalgico presente),42
960,5213,Grande amore,0
779,5214,Fatti avanti amore,47
658,5215,Un giorno mi dirai,0
969,5216,Nessun grado di separazione,53
970,5217,Via da qui,33
974,5218,Occidentali's Karma,0
598,5219,Che sia benedetta,51
975,5220,Vietato morire,53
984,5221,Una vita in vacanza,55
949,5222,Il mondo prima di te,53
983,5223,Non mi avete fatto niente,0
994,5224,I tuoi particolari,64
960,5225,Musica che resta,33
993,5226,Soldi,0
1008,5227,Ringo Starr,65
1007,5228,Fai rumore,0
974,5229,Viceversa,62
975,5230,Un milione di cose da dirti,47
1021,5231,Chiamami per nome,55
1020,5232,Zitti e buoni,0
817,5233,O forse sei tu,59
407,5234,Apri tutte le porte,44
1036,5235,Brividi,65
1050,5236,Supereroi,70
1049,5237,Cenere,70
925,5238,Due vite,0
